lat,lon,clima_approach,clima,approach,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
-3.75,-70.75,lowprec_pft,lowprec,pft,2.406047,28.07695,2.406047,0.32969765,0.32756443,0.33632774
-3.75,-70.25,lowprec_pft,lowprec,pft,2.405712,28.098763,2.405712,0.32971443,0.3278189,0.33612926
-3.75,-69.75,lowprec_pft,lowprec,pft,2.405571,28.11161,2.405571,0.3297214,0.3279688,0.33601517
-3.75,-69.25,lowprec_pft,lowprec,pft,2.407483,28.109364,2.407483,0.3296259,0.3279426,0.33612946
-3.75,-68.75,lowprec_pft,lowprec,pft,2.406841,28.111763,2.406841,0.32965797,0.3279706,0.33607735
-3.75,-68.25,lowprec_pft,lowprec,pft,2.401537,28.134874,2.401537,0.32992317,0.3282402,0.33561962
-3.75,-67.75,lowprec_pft,lowprec,pft,2.400614,28.133955,2.400614,0.32996925,0.32822945,0.3355811
-3.75,-67.25,lowprec_pft,lowprec,pft,2.400778,28.12512,2.400778,0.32996105,0.32812637,0.3356629
-3.75,-66.75,lowprec_pft,lowprec,pft,2.40438,28.10207,2.40438,0.32978104,0.3278575,0.33603508
-3.75,-66.25,lowprec_pft,lowprec,pft,2.407039,28.082098,2.407039,0.32964806,0.32762447,0.3363345
-3.75,-65.75,lowprec_pft,lowprec,pft,2.410166,28.043272,2.410166,0.3294917,0.3271715,0.33681435
-3.75,-65.25,lowprec_pft,lowprec,pft,2.415153,28.010288,2.415153,0.32924236,0.32678673,0.33733856
-3.75,-64.75,lowprec_pft,lowprec,pft,2.42822,28.00414,2.42822,0.32858902,0.32671497,0.33804317
-3.75,-64.25,lowprec_pft,lowprec,pft,2.422786,27.945864,2.422786,0.32886066,0.32603508,0.33825714
-3.75,-63.75,lowprec_pft,lowprec,pft,2.433606,27.971672,2.433606,0.32831966,0.32633617,0.338583
-3.75,-63.25,lowprec_pft,lowprec,pft,2.419432,27.985428,2.419432,0.3290284,0.32649666,0.3377597
-3.75,-62.75,lowprec_pft,lowprec,pft,2.436344,27.951286,2.436344,0.32818283,0.32609837,0.3388898
-3.75,-62.25,lowprec_pft,lowprec,pft,2.4816,28.209183,2.4816,0.32592,0.32910713,0.3390035
