"","ny","nx","lat","lon","clima","forest","area_m2","gpp","ra","npp","rc","et","cue","cmass","cleaf","cfroot","cawood"
"106",168,246,-5.75,-56.75,"nclim",1,3075515400,3.070932,2.583559,1.258399,84.75974,5.050576,0.234469,13.400891,1.052467,1.218065,11.130361
"107",168,247,-5.75,-56.25,"nclim",1,3075515400,2.227709,2.243666,1.068855,86.91336,5.32631,0.210478,12.284065,0.887139,1.040732,10.356194
"108",168,248,-5.75,-55.75,"nclim",1,3075515400,5.228835,3.518741,1.723791,87.37506,5.423155,0.309267,15.962847,1.366287,1.578602,13.017958
"109",168,249,-5.75,-55.25,"nclim",1,3075515400,5.057837,3.449547,1.667717,87.963615,5.427612,0.3006,15.352139,1.328248,1.561836,12.462053
"110",168,250,-5.75,-54.75,"nclim",1,3075515400,4.859012,3.419123,1.703637,86.44916,5.362284,0.302409,16.004072,1.334003,1.530184,13.139885
"111",168,251,-5.75,-54.25,"nclim",1,3075515400,4.78734,3.430202,1.713861,87.444374,5.306055,0.302006,15.956511,1.327525,1.517685,13.1113
"112",168,252,-5.75,-53.75,"nclim",1,3075515400,4.429822,3.304216,1.653011,88.32181,5.248008,0.298368,15.062691,1.260867,1.441978,12.359845
"113",169,217,-5.25,-71.25,"nclim",0,3078101000,4.031598,3.00349,1.501874,92.77408,4.675522,0.299498,13.937495,1.242642,1.409517,11.285336
"114",169,218,-5.25,-70.75,"nclim",0,3078101000,4.146851,2.946294,1.477851,87.38418,4.362158,0.307476,14.009828,1.203861,1.363928,11.44204
"115",169,219,-5.25,-70.25,"nclim",0,3078101000,4.270483,2.896084,1.438748,87.863594,4.188663,0.309035,13.633705,1.165707,1.350918,11.117082
"116",169,220,-5.25,-69.75,"nclim",0,3078101000,4.208815,2.832217,1.411456,90.676025,4.047038,0.311534,13.423758,1.140709,1.322255,10.960794
"117",169,221,-5.25,-69.25,"nclim",0,3078101000,4.248588,2.839324,1.409264,93.48107,3.952231,0.317224,13.503346,1.128141,1.306351,11.068854
"118",169,222,-5.25,-68.75,"nclim",0,3078101000,4.180717,2.805011,1.375706,95.27154,3.902757,0.31476,13.123502,1.101498,1.274572,10.747433
"119",169,223,-5.25,-68.25,"nclim",0,3078101000,4.025469,2.728616,1.315145,92.81991,3.910287,0.305483,12.313663,1.069671,1.235981,10.008011
"120",169,224,-5.25,-67.75,"nclim",1,3078101000,3.849721,2.684998,1.318803,85.26623,3.927044,0.30123,12.521617,1.080061,1.223237,10.21832
"121",169,225,-5.25,-67.25,"nclim",1,3078101000,4.055992,2.77613,1.455996,81.228905,4.094439,0.314517,14.006145,1.195862,1.386943,11.42334
"122",169,226,-5.25,-66.75,"nclim",1,3078101000,4.229259,2.929986,1.641162,82.189156,4.437933,0.324806,15.49321,1.352169,1.536812,12.604229
"123",169,227,-5.25,-66.25,"nclim",1,3078101000,4.059088,3.021056,1.575027,93.06425,4.911154,0.302875,14.690598,1.31133,1.489716,11.889551
"124",169,228,-5.25,-65.75,"nclim",1,3078101000,4.143062,3.166295,1.628988,85.27998,5.207828,0.297742,14.866402,1.358303,1.544027,11.964071
"125",169,229,-5.25,-65.25,"nclim",1,3078101000,4.515857,3.285699,1.864072,66.60837,5.115048,0.318848,16.735193,1.543018,1.758072,13.434105
"126",169,230,-5.25,-64.75,"nclim",1,3078101000,4.751361,3.377802,1.827067,70.42019,4.982478,0.321271,16.736755,1.483507,1.686492,13.566756
"127",169,231,-5.25,-64.25,"nclim",1,3078101000,5.017002,3.380444,1.818746,73.55183,4.843351,0.327312,16.941298,1.458944,1.657158,13.825195
"128",169,232,-5.25,-63.75,"nclim",1,3078101000,5.316295,3.458103,1.858192,79.988075,4.820617,0.34189,17.399214,1.468495,1.665137,14.265582
"129",169,233,-5.25,-63.25,"nclim",1,3078101000,5.437049,3.55019,1.886859,88.335625,5.00009,0.340413,17.555063,1.48335,1.678519,14.393194
"130",169,234,-5.25,-62.75,"nclim",1,3078101000,5.673805,3.688085,1.98572,93.8942,5.358477,0.34364,18.238256,1.565411,1.773299,14.899548
"131",169,235,-5.25,-62.25,"nclim",1,3078101000,6.137131,3.860146,2.276985,81.031075,5.402495,0.364803,19.969828,1.795648,2.039572,16.13461
"132",169,236,-5.25,-61.75,"nclim",0,3078101000,6.344917,3.960727,2.384189,73.4294,5.459132,0.369981,20.496416,1.885063,2.144345,16.467007
"133",169,237,-5.25,-61.25,"nclim",0,3078101000,5.580369,3.709996,2.262026,67.25755,5.458058,0.349121,19.748589,1.839602,2.104239,15.804749
"134",169,238,-5.25,-60.75,"nclim",0,3078101000,4.691336,3.40333,2.034534,63.332478,5.443901,0.322819,18.670458,1.709193,1.960556,15.00071
"135",169,239,-5.25,-60.25,"nclim",0,3078101000,5.631527,3.700271,2.127197,61.661076,5.356262,0.340085,19.231245,1.727072,1.974134,15.530037
"136",169,240,-5.25,-59.75,"nclim",1,3078101000,6.131526,3.94071,2.190816,61.01007,5.305474,0.349371,19.604904,1.724375,1.953392,15.927135
"137",169,241,-5.25,-59.25,"nclim",1,3078101000,5.761024,3.783021,1.978003,66.30955,5.150894,0.334891,18.066736,1.554674,1.757597,14.754465
"138",169,242,-5.25,-58.75,"nclim",1,3078101000,5.457082,3.604964,1.852118,70.190834,4.856324,0.330313,17.120056,1.457718,1.646921,14.015416
"139",169,243,-5.25,-58.25,"nclim",1,3078101000,5.271626,3.487605,1.784019,73.55738,4.682922,0.328972,16.6205,1.40696,1.589483,13.624057
"140",169,244,-5.25,-57.75,"nclim",1,3078101000,5.089052,3.388496,1.700555,80.070564,4.607059,0.324064,15.896482,1.345966,1.520638,13.029881
"141",169,245,-5.25,-57.25,"nclim",1,3078101000,5.074216,3.37226,1.701956,81.536446,4.680557,0.324838,15.995346,1.352709,1.53664,13.105996
"142",169,246,-5.25,-56.75,"nclim",1,3078101000,4.997609,3.345601,1.652008,83.98566,4.862782,0.316893,15.404842,1.329287,1.548669,12.526886
"143",169,247,-5.25,-56.25,"nclim",1,3078101000,5.281944,3.518167,1.763778,85.52532,5.103614,0.321414,16.373512,1.399209,1.598863,13.375439
"144",169,248,-5.25,-55.75,"nclim",1,3078101000,5.32448,3.553533,1.771489,86.63125,5.226693,0.31736,16.371197,1.397076,1.59704,13.37708
"145",169,249,-5.25,-55.25,"nclim",1,3078101000,5.31602,3.559352,1.771122,85.910484,5.296435,0.314145,16.343771,1.391749,1.592001,13.360021
"146",169,250,-5.25,-54.75,"nclim",1,3078101000,4.674865,3.352973,1.656825,84.44738,5.24434,0.298084,15.499789,1.303587,1.525847,12.670357
"147",169,251,-5.25,-54.25,"nclim",1,3078101000,4.855028,3.417137,1.72989,82.49239,5.205994,0.304058,16.297674,1.345231,1.536324,13.416121
"148",169,252,-5.25,-53.75,"nclim",1,3078101000,5.020724,3.4604,1.77376,81.44973,5.140252,0.3107,16.648226,1.379028,1.572711,13.696486
"149",169,253,-5.25,-53.25,"nclim",1,3078101000,4.749337,3.37189,1.717584,84.69541,5.048378,0.308932,16.151318,1.333124,1.518673,13.299521
"150",170,215,-4.75,-72.25,"nclim",0,3080451800,4.319321,3.249068,1.628609,95.98486,5.155352,0.298925,14.924153,1.351455,1.533536,12.039162
"151",170,216,-4.75,-71.75,"nclim",0,3080451800,4.135972,3.095761,1.552284,92.84403,4.839896,0.298903,14.326574,1.287513,1.460693,11.578369
"152",170,217,-4.75,-71.25,"nclim",0,3080451800,4.220126,3.034295,1.528243,87.76163,4.518495,0.30668,14.360909,1.250402,1.417247,11.693259
"153",170,218,-4.75,-70.75,"nclim",0,3080451800,4.494377,3.006572,1.492802,86.17222,4.242573,0.315279,14.049008,1.20708,1.395303,11.446625
"154",170,219,-4.75,-70.25,"nclim",0,3080451800,4.454356,2.97291,1.481446,86.266884,4.083039,0.320516,14.053198,1.182854,1.368796,11.501548
"155",170,220,-4.75,-69.75,"nclim",1,3080451800,4.401244,2.935038,1.466206,84.62562,3.950999,0.321359,14.225319,1.166584,1.348955,11.70978
"156",170,221,-4.75,-69.25,"nclim",1,3080451800,4.280912,2.849999,1.430913,85.77665,3.837585,0.321507,13.914402,1.129882,1.311138,11.473382
"157",170,222,-4.75,-68.75,"nclim",1,3080451800,4.190552,2.809599,1.380953,86.99805,3.780205,0.317091,13.405871,1.104371,1.27619,11.025311
"158",170,223,-4.75,-68.25,"nclim",1,3080451800,4.152276,2.782613,1.369664,85.35312,3.755197,0.31638,13.222418,1.085752,1.258872,10.877794
"159",170,224,-4.75,-67.75,"nclim",1,3080451800,4.153476,2.782029,1.371448,81.563065,3.738263,0.315297,13.515306,1.095949,1.270725,11.148632
"160",170,225,-4.75,-67.25,"nclim",1,3080451800,4.449456,2.895405,1.554051,75.76535,3.842607,0.334666,15.660313,1.248048,1.449833,12.962431
"161",170,226,-4.75,-66.75,"nclim",1,3080451800,4.745948,3.057564,1.69391,77.869484,4.312303,0.341628,16.149632,1.370242,1.555285,13.224104
"162",170,227,-4.75,-66.25,"nclim",1,3080451800,4.128492,3.031133,1.514774,93.59592,4.786515,0.300981,14.076096,1.25173,1.41976,11.404607
"163",170,228,-4.75,-65.75,"nclim",1,3080451800,4.115808,3.118024,1.627985,82.28362,5.076162,0.30033,14.896786,1.358507,1.544385,11.993894
"164",170,229,-4.75,-65.25,"nclim",1,3080451800,4.162782,3.18371,1.688588,74.29854,5.126701,0.301025,15.23101,1.410969,1.605585,12.214457
"165",170,230,-4.75,-64.75,"nclim",1,3080451800,4.491454,3.248809,1.801499,69.202774,4.964409,0.316292,16.278782,1.486268,1.691846,13.100669
"166",170,231,-4.75,-64.25,"nclim",1,3080451800,5.664846,3.590501,2.074344,66.40381,4.706466,0.359213,18.83232,1.634503,1.852334,15.345484
"167",170,232,-4.75,-63.75,"nclim",1,3080451800,5.402395,3.483224,1.919171,73.81524,4.684866,0.347783,17.896921,1.50983,1.708028,14.679062
"168",170,233,-4.75,-63.25,"nclim",1,3080451800,5.458595,3.542065,1.91653,78.37801,4.830048,0.34367,17.82387,1.50806,1.705559,14.61025
"169",170,234,-4.75,-62.75,"nclim",1,3080451800,5.679705,3.666183,2.013522,82.034584,5.097225,0.347147,18.466757,1.583883,1.792623,15.090251
"170",170,235,-4.75,-62.25,"nclim",1,3080451800,5.959681,3.837768,2.121914,83.339615,5.383543,0.348735,19.127907,1.670689,1.892138,15.56508
"171",170,236,-4.75,-61.75,"nclim",0,3080451800,6.262598,3.978046,2.284552,80.34079,5.557945,0.357673,20.08291,1.802594,2.045968,16.234346
"172",170,237,-4.75,-61.25,"nclim",0,3080451800,5.16028,3.607933,2.054475,81.155075,5.717606,0.327692,18.909456,1.690038,1.929038,15.290381
