ny,nx,lat,lon,clima,forest,area_m2,gpp,ra,npp,rc,et,cue,cmass,cleaf,cfroot,cawood
170,221,-4.75,-69.25,lowprec,1,3080451800,3.447303,2.573416,1.270826,85.4941,3.839783,0.292314,13.437305,1.059559,1.218428,11.159317
170,222,-4.75,-68.75,lowprec,1,3080451800,3.372849,2.533899,1.231006,86.90844,3.780879,0.288703,13.005576,1.030973,1.190109,10.784493
170,223,-4.75,-68.25,lowprec,1,3080451800,3.247491,2.485577,1.199474,85.07831,3.757232,0.283833,12.73058,1.010535,1.162134,10.557912
170,224,-4.75,-67.75,lowprec,1,3080451800,3.314219,2.494666,1.213854,81.2531,3.740527,0.285313,12.97425,1.023511,1.17484,10.775899
170,225,-4.75,-67.25,lowprec,1,3080451800,3.524897,2.58141,1.38125,75.35792,3.845766,0.302878,14.867702,1.163932,1.331203,12.372567
170,226,-4.75,-66.75,lowprec,1,3080451800,3.385816,2.672097,1.442393,78.38019,4.307888,0.295434,15.069374,1.238936,1.434998,12.395441
170,227,-4.75,-66.25,lowprec,1,3080451800,3.036294,2.624589,1.29526,94.58572,4.77769,0.266882,12.851327,1.105965,1.303792,10.44157
170,228,-4.75,-65.75,lowprec,1,3080451800,2.973449,2.640136,1.352742,83.037575,5.068785,0.259894,13.28446,1.161793,1.366959,10.755709
170,229,-4.75,-65.25,lowprec,1,3080451800,2.983501,2.681895,1.394028,74.91185,5.120363,0.257977,13.391237,1.199978,1.407991,10.783268
170,230,-4.75,-64.75,lowprec,1,3080451800,3.178333,2.711832,1.482475,69.8161,4.957854,0.270338,14.392847,1.271019,1.496414,11.625414
170,231,-4.75,-64.25,lowprec,1,3080451800,3.74922,2.912603,1.620551,66.97637,4.700309,0.29694,16.659426,1.38653,1.622697,13.650198
170,232,-4.75,-63.75,lowprec,1,3080451800,4.191307,3.015265,1.604381,74.616974,4.67689,0.307346,16.448587,1.332349,1.572362,13.543877
170,233,-4.75,-63.25,lowprec,1,3080451800,4.682709,3.229824,1.710215,79.05513,4.823239,0.318233,16.514933,1.391265,1.618825,13.504843
170,234,-4.75,-62.75,lowprec,1,3080451800,4.330193,3.170468,1.712595,82.8155,5.088954,0.310383,16.728548,1.40407,1.643427,13.681051
170,235,-4.75,-62.25,lowprec,1,3080451800,3.18257,2.649001,1.396488,83.803345,5.378243,0.270512,15.054223,1.212639,1.427159,12.414425
170,236,-4.75,-61.75,lowprec,0,3080451800,2.828286,2.488879,1.355506,80.79064,5.552348,0.254832,14.86833,1.176068,1.391783,12.300479
170,240,-4.75,-59.75,lowprec,0,3080451800,1.718283,1.882094,0.945768,74.25936,5.618955,0.2072,12.510213,0.792299,0.941128,10.776786
170,241,-4.75,-59.25,lowprec,0,3080451800,2.414037,2.399985,1.224781,71.870056,5.343678,0.233498,13.954176,1.020587,1.182635,11.750954
170,242,-4.75,-58.75,lowprec,1,3080451800,1.478784,1.678917,0.794188,74.846275,5.023499,0.199143,11.159038,0.667572,0.796854,9.694612
170,243,-4.75,-58.25,lowprec,1,3080451800,1.291243,1.610485,0.686051,74.896065,4.760232,0.179302,9.35548,0.613013,0.794443,7.948025
170,244,-4.75,-57.75,lowprec,1,3080451800,0.966493,1.267418,0.524496,78.500885,4.641959,0.169774,8.671455,0.476123,0.614157,7.581174
170,245,-4.75,-57.25,lowprec,1,3080451800,0.769684,1.076418,0.416628,78.29892,4.694212,0.158067,9.118081,0.412192,0.501059,8.20483
170,246,-4.75,-56.75,lowprec,1,3080451800,0.610682,0.927528,0.329679,73.83697,4.878507,0.141938,6.152218,0.347611,0.446929,5.357678
170,252,-4.75,-53.75,lowprec,1,3080451800,0.539759,0.850078,0.283592,72.26376,5.046728,0.132502,6.088612,0.312409,0.401669,5.374534
170,253,-4.75,-53.25,lowprec,1,3080451800,2.027157,1.821219,0.857906,85.284584,4.78229,0.237759,11.298346,0.688878,0.842857,9.76661
170,254,-4.75,-52.75,lowprec,1,3080451800,3.82104,2.925172,1.471564,86.093376,4.681707,0.291444,15.016625,1.136772,1.32389,12.555963
170,255,-4.75,-52.25,lowprec,1,3080451800,3.951396,2.996351,1.507665,86.53275,4.708207,0.293944,15.230194,1.1682,1.362687,12.699308
171,213,-4.25,-73.25,lowprec,1,3082568200,4.187353,3.210883,1.611364,92.98615,5.144638,0.291912,15.678062,1.348241,1.572812,12.75701
171,214,-4.25,-72.75,lowprec,0,3082568200,3.308428,2.80864,1.377323,92.42582,5.025838,0.267694,14.11761,1.176184,1.378951,11.562475
171,215,-4.25,-72.25,lowprec,0,3082568200,2.180472,2.086063,0.989218,90.39685,4.889893,0.237491,11.10043,0.845669,1.013958,9.240803
171,216,-4.25,-71.75,lowprec,0,3082568200,2.63522,2.376667,1.160737,86.166176,4.645733,0.255157,12.253384,0.995281,1.163491,10.094612
171,217,-4.25,-71.25,lowprec,0,3082568200,3.31254,2.688485,1.312485,84.5744,4.370637,0.277406,13.708345,1.133569,1.326493,11.248282
171,218,-4.25,-70.75,lowprec,0,3082568200,3.558189,2.722223,1.336102,83.587685,4.158598,0.289,13.93163,1.127464,1.309737,11.494429
171,219,-4.25,-70.25,lowprec,0,3082568200,3.603479,2.69275,1.332358,81.731606,4.042034,0.294033,13.981086,1.112461,1.282003,11.586621
171,220,-4.25,-69.75,lowprec,1,3082568200,3.648537,2.661764,1.319228,79.31192,3.919127,0.29742,13.891339,1.095604,1.25995,11.535786
171,221,-4.25,-69.25,lowprec,1,3082568200,3.530913,2.583736,1.281165,78.60785,3.808422,0.295564,13.652466,1.067454,1.226097,11.358913
171,222,-4.25,-68.75,lowprec,1,3082568200,3.569726,2.565371,1.260783,79.03907,3.729513,0.295967,13.408027,1.04846,1.205675,11.153892
171,223,-4.25,-68.25,lowprec,1,3082568200,3.903681,2.64128,1.287732,77.62504,3.663891,0.30595,13.427122,1.057554,1.223286,11.146282
171,224,-4.25,-67.75,lowprec,1,3082568200,3.826032,2.608352,1.269362,76.544205,3.672714,0.301403,13.301171,1.050412,1.212269,11.03849
171,225,-4.25,-67.25,lowprec,1,3082568200,3.584774,2.567681,1.261708,80.1768,3.789224,0.295054,13.463614,1.056278,1.213488,11.19385
171,226,-4.25,-66.75,lowprec,1,3082568200,3.541232,2.690994,1.354655,80.65936,4.1056,0.292216,14.21618,1.146894,1.324683,11.744604
171,227,-4.25,-66.25,lowprec,1,3082568200,3.422493,2.779053,1.370881,85.01312,4.526915,0.280322,14.230515,1.177714,1.384622,11.668179
171,228,-4.25,-65.75,lowprec,1,3082568200,3.526075,2.852076,1.558194,72.67021,4.800685,0.290038,16.13533,1.346857,1.563894,13.224578
171,229,-4.25,-65.25,lowprec,1,3082568200,3.380921,2.775973,1.575791,68.07435,4.891553,0.283294,15.260456,1.363671,1.596151,12.300633
171,230,-4.25,-64.75,lowprec,1,3082568200,3.289548,2.760651,1.512901,69.99436,4.907502,0.27505,15.771188,1.314717,1.528136,12.928334
171,231,-4.25,-64.25,lowprec,1,3082568200,3.649888,2.814056,1.530582,70.03832,4.744869,0.292247,15.989313,1.30793,1.518379,13.163004
171,232,-4.25,-63.75,lowprec,1,3082568200,4.239874,3.000493,1.627826,70.7651,4.653375,0.311039,16.62294,1.359278,1.607719,13.655945
171,233,-4.25,-63.25,lowprec,1,3082568200,4.291655,3.021992,1.665334,71.04798,4.766071,0.314647,16.728994,1.377739,1.628791,13.722464
171,234,-4.25,-62.75,lowprec,1,3082568200,3.705231,2.844546,1.505223,76.709,4.995565,0.29092,15.754144,1.286053,1.497419,12.970672
171,235,-4.25,-62.25,lowprec,1,3082568200,2.072627,1.982538,1.011138,82.54785,5.313618,0.225135,12.835208,0.86596,1.033542,10.935706
171,236,-4.25,-61.75,lowprec,0,3082568200,1.356628,1.659031,0.749388,85.23127,5.620104,0.180611,10.239492,0.681372,0.887055,8.671066
171,238,-4.25,-60.75,lowprec,0,3082568200,0.139812,0.820157,0.014432,87.32849,5.906109,0.012891,10.856051,0.295177,0.36085,10.200024
171,244,-4.25,-57.75,lowprec,1,3082568200,1.186242,1.520516,0.6439,82.143715,4.683315,0.176303,9.140606,0.573886,0.742785,7.823935
171,245,-4.25,-57.25,lowprec,1,3082568200,0.958845,1.267366,0.527621,84.453636,4.700615,0.167752,8.707758,0.47777,0.6166,7.613388
171,246,-4.25,-56.75,lowprec,1,3082568200,1.011539,1.326825,0.564551,83.89553,4.77987,0.168896,9.01007,0.507015,0.655579,7.847476
171,247,-4.25,-56.25,lowprec,1,3082568200,1.094441,1.429091,0.608107,84.924,4.885695,0.168074,9.070659,0.539429,0.701425,7.829804
171,248,-4.25,-55.75,lowprec,1,3082568200,0.610494,0.962347,0.346602,76.13527,5.09891,0.137458,6.14088,0.359972,0.462821,5.318088
171,252,-4.25,-53.75,lowprec,1,3082568200,0.895543,0.982402,0.42845,82.04949,4.861759,0.15991,6.510318,0.368216,0.513734,5.628368
171,253,-4.25,-53.25,lowprec,1,3082568200,3.645647,2.846829,1.436264,84.89042,4.748382,0.28831,14.84456,1.105686,1.284526,12.454348
171,254,-4.25,-52.75,lowprec,1,3082568200,3.940897,2.960064,1.508307,82.4961,4.624357,0.297777,15.285523,1.169425,1.359529,12.756569
171,255,-4.25,-52.25,lowprec,1,3082568200,4.076359,3.027751,1.552345,79.74253,4.613178,0.299238,15.597507,1.210129,1.41028,12.977098
171,256,-4.25,-51.75,lowprec,0,3082568200,3.945876,3.024366,1.520637,81.76745,4.786279,0.291899,15.303349,1.175195,1.370926,12.757227
172,212,-3.75,-73.75,lowprec,0,3084449800,4.636904,3.26256,1.755035,89.51656,4.880788,0.317877,16.816786,1.448723,1.683114,13.684949
172,213,-3.75,-73.25,lowprec,0,3084449800,3.934424,3.055778,1.514972,97.58178,4.934903,0.288465,15.341758,1.280555,1.504018,12.557184
172,214,-3.75,-72.75,lowprec,0,3084449800,3.240413,2.716969,1.338821,91.71622,4.778355,0.271155,13.882885,1.142112,1.33123,11.409542
172,215,-3.75,-72.25,lowprec,0,3084449800,2.799308,2.457901,1.20657,85.15807,4.5985,0.260726,12.701575,1.028618,1.201752,10.471205
172,216,-3.75,-71.75,lowprec,0,3084449800,2.866411,2.478712,1.217968,82.452736,4.450917,0.263994,12.753333,1.046379,1.220761,10.486193
172,217,-3.75,-71.25,lowprec,0,3084449800,3.376322,2.68842,1.298219,82.67841,4.221032,0.278946,13.671278,1.11845,1.315665,11.237163
172,218,-3.75,-70.75,lowprec,1,3084449800,3.603668,2.72845,1.337295,80.600685,4.119853,0.290034,13.973482,1.124222,1.3018,11.547461
172,219,-3.75,-70.25,lowprec,1,3084449800,3.665622,2.702787,1.327686,78.48182,4.016345,0.294773,13.90585,1.10605,1.274484,11.525317
172,220,-3.75,-69.75,lowprec,1,3084449800,3.771142,2.691182,1.332529,75.55178,3.896849,0.300984,13.981691,1.103077,1.270995,11.607618
172,221,-3.75,-69.25,lowprec,1,3084449800,3.538483,2.586285,1.282106,74.31316,3.803832,0.294884,13.68127,1.069551,1.229089,11.38263
172,222,-3.75,-68.75,lowprec,1,3084449800,3.573216,2.569051,1.267667,73.58898,3.731819,0.295509,13.486501,1.055364,1.212285,11.218852
172,223,-3.75,-68.25,lowprec,1,3084449800,4.058742,2.713578,1.345164,71.80815,3.622163,0.317449,13.905534,1.085919,1.272213,11.547401
172,224,-3.75,-67.75,lowprec,0,3084449800,4.026962,2.692889,1.334073,72.9647,3.604221,0.317981,13.672654,1.072438,1.255649,11.344567
172,225,-3.75,-67.25,lowprec,0,3084449800,4.034195,2.69986,1.334335,76.15423,3.641437,0.317555,13.591451,1.072734,1.256018,11.262698
172,226,-3.75,-66.75,lowprec,1,3084449800,3.914134,2.729507,1.343233,76.66509,3.923377,0.300789,14.011847,1.116241,1.287937,11.607669
172,227,-3.75,-66.25,lowprec,1,3084449800,3.858216,2.866223,1.467705,73.63964,4.278556,0.299573,15.34341,1.232301,1.424271,12.686839
172,228,-3.75,-65.75,lowprec,1,3084449800,3.969594,2.979734,1.587064,71.375145,4.524065,0.301883,16.474209,1.341786,1.580178,13.552243
