ny,nx,lat,lon,clima_approach,gpp,npp,cmass,cleaf,cfroot,cawood,agb
169,249,-5.25,-55.25,PFT_nclim,5.31602,1.771122,16.343771,1.391749,1.592001,13.360021,14.75177
169,250,-5.25,-54.75,PFT_nclim,4.674865,1.656825,15.499789,1.303587,1.525847,12.670357,13.973944
169,251,-5.25,-54.25,PFT_nclim,4.855028,1.72989,16.297674,1.345231,1.536324,13.416121,14.761352
169,252,-5.25,-53.75,PFT_nclim,5.020724,1.77376,16.648226,1.379028,1.572711,13.696486,15.075514
169,253,-5.25,-53.25,PFT_nclim,4.749337,1.717584,16.151318,1.333124,1.518673,13.299521,14.632645
170,215,-4.75,-72.25,PFT_nclim,4.319321,1.628609,14.924153,1.351455,1.533536,12.039162,13.390617
170,216,-4.75,-71.75,PFT_nclim,4.135972,1.552284,14.326574,1.287513,1.460693,11.578369,12.865882
170,217,-4.75,-71.25,PFT_nclim,4.220126,1.528243,14.360909,1.250402,1.417247,11.693259,12.943661
170,218,-4.75,-70.75,PFT_nclim,4.494377,1.492802,14.049008,1.20708,1.395303,11.446625,12.653705
170,219,-4.75,-70.25,PFT_nclim,4.454356,1.481446,14.053198,1.182854,1.368796,11.501548,12.684402
170,220,-4.75,-69.75,PFT_nclim,4.401244,1.466206,14.225319,1.166584,1.348955,11.70978,12.876364
170,221,-4.75,-69.25,PFT_nclim,4.280912,1.430913,13.914402,1.129882,1.311138,11.473382,12.603264
170,222,-4.75,-68.75,PFT_nclim,4.190552,1.380953,13.405871,1.104371,1.27619,11.025311,12.129682
170,223,-4.75,-68.25,PFT_nclim,4.152276,1.369664,13.222418,1.085752,1.258872,10.877794,11.963546
170,224,-4.75,-67.75,PFT_nclim,4.153476,1.371448,13.515306,1.095949,1.270725,11.148632,12.244581
170,225,-4.75,-67.25,PFT_nclim,4.449456,1.554051,15.660313,1.248048,1.449833,12.962431,14.210479
170,226,-4.75,-66.75,PFT_nclim,4.745948,1.69391,16.149632,1.370242,1.555285,13.224104,14.594346
170,227,-4.75,-66.25,PFT_nclim,4.128492,1.514774,14.076096,1.25173,1.41976,11.404607,12.656337
170,228,-4.75,-65.75,PFT_nclim,4.115808,1.627985,14.896786,1.358507,1.544385,11.993894,13.352401
170,229,-4.75,-65.25,PFT_nclim,4.162782,1.688588,15.23101,1.410969,1.605585,12.214457,13.625426
170,230,-4.75,-64.75,PFT_nclim,4.491454,1.801499,16.278782,1.486268,1.691846,13.100669,14.586937
170,231,-4.75,-64.25,PFT_nclim,5.664846,2.074344,18.83232,1.634503,1.852334,15.345484,16.979987
170,232,-4.75,-63.75,PFT_nclim,5.402395,1.919171,17.896921,1.50983,1.708028,14.679062,16.188892
170,233,-4.75,-63.25,PFT_nclim,5.458595,1.91653,17.82387,1.50806,1.705559,14.61025,16.11831
170,234,-4.75,-62.75,PFT_nclim,5.679705,2.013522,18.466757,1.583883,1.792623,15.090251,16.674134
170,235,-4.75,-62.25,PFT_nclim,5.959681,2.121914,19.127907,1.670689,1.892138,15.56508,17.235769
170,236,-4.75,-61.75,PFT_nclim,6.262598,2.284552,20.08291,1.802594,2.045968,16.234346,18.03694
170,237,-4.75,-61.25,PFT_nclim,5.16028,2.054475,18.909456,1.690038,1.929038,15.290381,16.980419
170,238,-4.75,-60.75,PFT_nclim,3.961978,1.788448,17.008247,1.541001,1.80315,13.664097,15.205098
170,239,-4.75,-60.25,PFT_nclim,3.787853,1.66454,16.653788,1.417745,1.681477,13.554566,14.972311
170,240,-4.75,-59.75,PFT_nclim,6.172696,2.160612,19.289484,1.697954,1.923279,15.66825,17.366204
170,241,-4.75,-59.25,PFT_nclim,5.930424,2.052633,18.585615,1.611715,1.823378,15.150521,16.762236
170,242,-4.75,-58.75,PFT_nclim,5.566092,1.884459,17.24643,1.481169,1.674722,14.090537,15.571706
170,243,-4.75,-58.25,PFT_nclim,5.305738,1.799257,16.738886,1.419794,1.604631,13.714459,15.134253
170,244,-4.75,-57.75,PFT_nclim,5.165417,1.748681,16.418726,1.38418,1.565214,13.469331,14.853511
170,245,-4.75,-57.25,PFT_nclim,5.116619,1.734287,16.354908,1.376204,1.560035,13.418668,14.794872
170,246,-4.75,-56.75,PFT_nclim,5.161812,1.748332,16.460632,1.38916,1.577055,13.494419,14.883579
170,247,-4.75,-56.25,PFT_nclim,5.138137,1.733112,16.3074,1.367626,1.559206,13.380566,14.748192
170,248,-4.75,-55.75,PFT_nclim,4.740663,1.636222,15.529122,1.292747,1.516509,12.719867,14.012614
170,249,-4.75,-55.25,PFT_nclim,4.996472,1.682782,15.660604,1.331596,1.551477,12.777532,14.109128
170,250,-4.75,-54.75,PFT_nclim,4.862233,1.683971,15.762788,1.325213,1.545863,12.891713,14.216926
170,251,-4.75,-54.25,PFT_nclim,5.017107,1.708912,15.942884,1.353416,1.580508,13.008959,14.362375
170,252,-4.75,-53.75,PFT_nclim,4.901399,1.677388,15.778,1.32459,1.550412,12.902998,14.227588
170,253,-4.75,-53.25,PFT_nclim,4.905135,1.662486,15.767075,1.321789,1.545773,12.899513,14.221302
170,254,-4.75,-52.75,PFT_nclim,4.91155,1.656631,15.722018,1.324249,1.547291,12.850478,14.174727
170,255,-4.75,-52.25,PFT_nclim,5.008027,1.689851,15.894931,1.353526,1.575841,12.965566,14.319092
171,213,-4.25,-73.25,PFT_nclim,5.424085,1.835074,17.007217,1.469854,1.664194,13.87317,15.343024
171,214,-4.25,-72.75,PFT_nclim,4.617135,1.687987,15.717322,1.385523,1.571041,12.760756,14.146279
171,215,-4.25,-72.25,PFT_nclim,4.279777,1.605158,14.802426,1.328457,1.50702,11.966948,13.295405
171,216,-4.25,-71.75,PFT_nclim,4.241677,1.566597,14.548333,1.290273,1.463086,11.794973,13.085246
171,217,-4.25,-71.25,PFT_nclim,4.549132,1.551453,14.699055,1.257557,1.425073,12.016425,13.273982
171,218,-4.25,-70.75,PFT_nclim,4.56712,1.519358,14.347948,1.218295,1.405995,11.723659,12.941954
171,219,-4.25,-70.25,PFT_nclim,4.504383,1.500527,14.450498,1.19352,1.379915,11.877064,13.070584
171,220,-4.25,-69.75,PFT_nclim,4.408315,1.475734,14.360766,1.163873,1.350205,11.846689,13.010562
171,221,-4.25,-69.25,PFT_nclim,4.312403,1.44053,14.212137,1.140959,1.323614,11.747562,12.888521
171,222,-4.25,-68.75,PFT_nclim,4.214294,1.399094,13.87847,1.11232,1.290082,11.476069,12.588389
171,223,-4.25,-68.25,PFT_nclim,4.148028,1.371409,13.653399,1.093366,1.267838,11.292194,12.38556
171,224,-4.25,-67.75,PFT_nclim,4.132017,1.363331,13.587838,1.092156,1.266253,11.229429,12.321585
171,225,-4.25,-67.25,PFT_nclim,4.174107,1.380564,13.90774,1.113018,1.290723,11.503999,12.617017
