nx,ny,lat,lon,clima_approach,gpp,npp,cmass,cleaf,cfroot,cawood,agb
260,180,0.25,-49.75,PLS_nclim,2.32489550113678,0.993995302915573,11.2993609428406,0.624479997158051,0.580032104253769,10.0948516845703,10.7193316817284
241,192,6.25,-59.25,PLS_nclim,2.57538599967957,1.02152589559555,11.5273381233215,0.624458700418472,0.630184507369995,10.2726976394653,10.8971563398838
250,180,0.25,-54.75,PLS_nclim,2.37197580337524,0.99821349978447,11.3791177749634,0.62433979511261,0.638661402463913,10.1161167144775,10.7404565095901
213,199,9.75,-73.25,PLS_nclim,2.5542179107666,1.04005761146545,11.7090305328369,0.62404870390892,0.653296303749084,10.4316914558411,11.05574015975
255,194,7.25,-52.25,PLS_nclim,2.43607668876648,1.01062090992928,11.5022790908813,0.623963707685471,0.619960385560989,10.2583539962769,10.8823177039624
222,207,13.75,-68.75,PLS_nclim,2.46999332904816,1.02645628452301,11.425154209137,0.623681700229645,0.674421793222427,10.1270515441895,10.7507332444191
251,181,0.75,-54.25,PLS_nclim,2.41360881328583,0.996299803256989,11.3591192245483,0.623550802469254,0.631508803367615,10.1040554046631,10.7276062071324
265,182,1.25,-47.25,PLS_nclim,2.22141020298004,0.976012390851974,11.0808290481567,0.623331898450851,0.592404597997665,9.86509532928467,10.4884272277355
241,193,6.75,-59.25,PLS_nclim,2.55792391300201,1.01804889440536,11.5008543968201,0.623319798707962,0.627389597892761,10.2501408576965,10.8734606564045
258,183,1.75,-50.75,PLS_nclim,2.54891247749329,1.01902341842651,11.6109559059143,0.623263704776764,0.608482897281647,10.3792084693909,11.0024721741677
247,173,-3.25,-56.25,PLS_nclim,2.24186279773712,0.979154098033905,11.0543727874756,0.623032104969025,0.654184603691101,9.77715816497803,10.4001902699471
261,183,1.75,-49.25,PLS_nclim,2.45438511371613,1.01119759678841,11.5412038803101,0.622885406017303,0.594471901655197,10.323844909668,10.9467303156853
257,181,0.75,-51.25,PLS_nclim,2.47702398300171,1.0037663936615,11.4563991546631,0.622864806652069,0.598374599218369,10.2351638793945,10.8580286860466
254,180,0.25,-52.75,PLS_nclim,2.3558925151825,0.998275405168533,11.4571571350098,0.622682392597198,0.598809605836868,10.2356621742249,10.8583445668221
265,183,1.75,-47.25,PLS_nclim,2.28487176895142,0.988727396726608,11.3066153526306,0.622530591487884,0.59279220700264,10.0912936210632,10.7138242125511
241,184,2.25,-59.25,PLS_nclim,2.63951737880707,1.04202311038971,11.7802531242371,0.622481602430344,0.652870398759842,10.5049001693726,11.1273817718029
251,194,7.25,-54.25,PLS_nclim,2.19745857715607,0.972028607130051,11.0932309150696,0.622480094432831,0.588462603092194,9.88228521347046,10.5047653079033
242,190,5.25,-58.75,PLS_nclim,2.64796333312988,1.04801360368729,11.8382652282715,0.622469103336334,0.656506699323654,10.5592935562134,11.1817626595497
252,175,-2.25,-53.75,PLS_nclim,2.30480268001556,1.00865770578384,11.5052268981934,0.622426599264145,0.613723683357239,10.269073677063,10.8915002763271
263,181,0.75,-48.25,PLS_nclim,2.26080765724182,0.985937505960464,11.2103469848633,0.622400009632111,0.586746895313263,10.0011995315552,10.6235995411873
246,193,6.75,-56.75,PLS_nclim,2.45143330097198,1.00028921365738,11.3703362464905,0.622209495306015,0.612709295749664,10.1354180335999,10.7576275289059
237,198,9.25,-61.25,PLS_nclim,2.46287527084351,1.00695428848267,11.4298879623413,0.621803796291351,0.619773691892624,10.1883122444153,10.8101160407067
249,173,-3.25,-55.25,PLS_nclim,2.30251643657684,1.00308459401131,11.388728427887,0.62178829908371,0.627161401510239,10.1397785186768,10.7615668177605
252,194,7.25,-53.75,PLS_nclim,2.23146877288818,0.978623795509338,11.1852429389954,0.6217090010643,0.592518502473831,9.97101516723633,10.5927241683006
253,191,5.75,-53.25,PLS_nclim,2.42813682556152,0.998997592926025,11.4282897949219,0.621699398756027,0.599533194303513,10.2070532798767,10.8287526786327
236,197,8.75,-61.75,PLS_nclim,2.47147250175476,1.00567729473114,11.4044270515442,0.621493399143219,0.61977179646492,10.163161277771,10.7846546769142
264,181,0.75,-47.75,PLS_nclim,2.21461389064789,0.976011508703232,11.0620133399963,0.62143269777298,0.581837797164917,9.85873947143555,10.4801721692085
249,172,-3.75,-55.25,PLS_nclim,2.4037036895752,1.00963410139084,11.4443759918213,0.621407908201218,0.642782700061798,10.1801825523376,10.8015904605388
223,204,12.25,-68.25,PLS_nclim,2.45189251899719,1.01595419645309,11.4545209884644,0.620977109670639,0.631490695476532,10.2020582199097,10.8230353295803
265,181,0.75,-47.25,PLS_nclim,2.16845428943634,0.963934105634689,10.8729466438293,0.620546799898148,0.582114297151566,9.67028713226318,10.2908339321613
253,194,7.25,-53.25,PLS_nclim,2.36489033699036,0.995988494157791,11.3660460472107,0.620252299308777,0.607954400777817,10.1378319740295,10.7580842733383
210,195,7.75,-74.75,PLS_nclim,2.64792709350586,1.01790490150452,11.2951591491699,0.620096105337143,0.718897700309753,9.95616807937622,10.5762641847134
252,178,-0.75,-53.75,PLS_nclim,2.22231321334839,0.985006505250931,11.2445964813232,0.619935292005539,0.615021097660065,10.0096405982971,10.6295758903026
237,166,-6.75,-61.25,PLS_nclim,2.46586678028107,0.940604501962662,9.69013195037842,0.619732296466827,0.777156800031662,8.2932430267334,8.91297532320023
211,198,9.25,-74.25,PLS_nclim,2.58599071502686,1.02666870355606,11.4931073188782,0.619632703065872,0.684396398067474,10.1890795707703,10.8087122738362
255,179,-0.25,-52.25,PLS_nclim,2.30761797428131,0.986225193738937,11.2960822105408,0.619527101516724,0.59228829741478,10.0842679023743,10.703795003891
248,173,-3.25,-55.75,PLS_nclim,2.32716488838196,0.994635784626007,11.2828387260437,0.619409590959549,0.630697393417358,10.0327306747437,10.6521402657033
235,195,7.75,-62.25,PLS_nclim,2.47100791931152,0.999946397542953,11.323339176178,0.619362598657608,0.611122405529022,10.0928531646729,10.7122157633305
255,182,1.25,-52.25,PLS_nclim,2.4355856180191,0.979267901182175,11.1917984008789,0.619130003452301,0.59862699508667,9.97403793334961,10.5931679368019
244,193,6.75,-57.75,PLS_nclim,2.51026957035065,1.00532249212265,11.3780591964722,0.619095093011856,0.620774811506271,10.1381898880005,10.7572849810124
245,188,4.25,-57.25,PLS_nclim,2.59514882564545,1.02982459068298,11.6834904670715,0.619072896242142,0.626187396049499,10.4382309913635,11.0573038876056
261,180,0.25,-49.25,PLS_nclim,2.22604455947876,0.975107997655869,11.0621158599854,0.619031196832657,0.580356699228287,9.86273250579834,10.481763702631
244,192,6.25,-57.75,PLS_nclim,2.5632199048996,1.01670337915421,11.4790752410889,0.618921995162964,0.633430898189545,10.2267219543457,10.8456439495087
259,176,-1.75,-50.25,PLS_nclim,2.25924119949341,0.983826899528503,11.1391221046448,0.618861997127533,0.566678202152252,9.95358381271362,10.5724458098412
258,176,-1.75,-50.75,PLS_nclim,2.25772409439087,0.976211804151535,11.094707775116,0.618756800889969,0.557819700241089,9.91813268661499,10.536889487505
219,196,8.25,-70.25,PLS_nclim,2.45105118751526,1.00530918836594,11.3627402305603,0.61861360669136,0.619755202531815,10.1243716239929,10.7429852306843
