"","ny","nx","lat","lon","clima","area_m2","gpp","ra","npp","rc","et","cue","cmass","cleaf","cfroot","cawood","tleaf_cwm","twood_cwm","troot_cwm","aleaf_cwm","awood_cwm","aroot_cwm","PC1","PC2","PC3","PC4","PC5","PC6"
"53",169,229,-5.25,-65.25,"lowprec",3078101000,3.146359,2.600197,1.593165,64.44822,5.138727,0.278553,17.403715,1.32493,1.358178,14.720608,2.420655,27.900536,2.420655,32.89673,32.550625,33.852833,-0.441716670797846,0.278179529102539,6.30768126164138e-06,-1.15570554716504e-06,-2.61937437680965e-07,-4.09145211083948e-16
"54",169,230,-5.25,-64.75,"lowprec",3078101000,3.445732,2.781687,1.630318,68.05366,5.007916,0.28755,17.955193,1.3605,1.385165,15.209528,2.414788,27.950035,2.414788,32.92606,32.608376,33.782238,-0.532981537666872,0.236596845360354,-1.70242990937819e-06,3.10650170608218e-06,9.66317256488689e-07,-3.91600153083975e-16
"55",169,231,-5.25,-64.25,"lowprec",3078101000,3.598285,2.813066,1.64065,71.05257,4.869332,0.295227,18.254543,1.352509,1.373463,15.528571,2.413679,28.006153,2.413679,32.931602,32.673847,33.729935,-0.574886051820839,0.173852050173508,-2.5857328050799e-06,-1.73079237075768e-06,8.46244969534768e-07,-4.07773086232858e-16
"56",169,232,-5.25,-63.75,"lowprec",3078101000,3.872779,2.899291,1.690445,77.23133,4.848267,0.307659,18.824205,1.368283,1.384831,16.07109,2.410978,28.058802,2.410978,32.94511,32.735268,33.67255,-0.632651030280898,0.119661640176243,-1.67098051846726e-06,3.05541571474222e-06,-3.83145724214447e-07,-4.45369907589705e-16
"57",169,233,-5.25,-63.25,"lowprec",3078101000,4.408543,3.142688,1.816521,85.25877,5.031213,0.325967,19.69721,1.437962,1.450702,16.808544,2.406728,28.07218,2.406728,32.966362,32.750877,33.64016,-0.686907153865051,0.115930215669859,2.98570277831867e-06,-1.39726003201002e-06,8.30117463214777e-08,-4.59878351652749e-16
"58",169,234,-5.25,-62.75,"lowprec",3078101000,4.406532,3.187933,1.864705,90.67261,5.393163,0.321056,20.202219,1.491953,1.507963,17.202305,2.408318,28.04372,2.408318,32.958412,32.717674,33.671825,-0.654240966496135,0.144857087615998,2.52122009558597e-06,-5.21957402355167e-07,2.69883371910133e-07,-4.40874125612786e-16
"59",169,235,-5.25,-62.25,"lowprec",3078101000,3.857162,2.907475,1.841374,78.50267,5.432861,0.305542,20.219694,1.533385,1.568966,17.117342,2.420307,27.928825,2.420307,32.898464,32.58363,33.82751,-0.460498263883116,0.245950448587889,-2.20916277390848e-06,1.89847545417621e-06,4.63916202947737e-07,-3.24307723088314e-16
"60",169,236,-5.25,-61.75,"lowprec",3078101000,1.697115,1.868074,0.979839,64.25436,5.576294,0.198958,12.721434,0.893632,1.07524,10.752563,2.88585,26.575512,2.88585,30.570751,31.004763,37.282997,5.4237441743381,0.523364206305101,2.99756931720907e-06,-3.54064375751584e-06,-5.9303071229394e-07,3.25652289128331e-15
"61",169,240,-5.25,-59.75,"lowprec",3078101000,2.447979,2.292942,1.350293,59.14307,5.327191,0.244807,16.5037,1.083818,1.115685,14.304196,2.431321,28.124249,2.431321,32.8434,32.811623,33.71973,-0.441220853881872,-0.0144445690244043,4.59309031457245e-06,2.07879413788303e-06,-3.95136413386919e-07,-2.88269711799715e-16
"62",169,241,-5.25,-59.25,"lowprec",3078101000,4.841599,3.192828,1.779122,64.27644,5.172758,0.328439,19.18249,1.393043,1.431234,16.358212,2.422889,27.946278,2.422889,32.885555,32.60399,33.825882,-0.441022309198448,0.218196169958079,4.40791398922946e-07,-9.26017888813746e-07,-5.11271525514227e-07,-3.85523066333651e-16
