nx,ny,lat,lon,approach,clima,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
233,207,13.75,-63.25,plsnclim,nclim,2.50543928146362,26.0064842224121,2.51562149524689,0.320575705170631,0.348917102813721,0.33050739467144
233,208,14.25,-63.25,plsnclim,nclim,2.50388615131378,25.9793712615967,2.53112699985504,0.320245602726936,0.348480600118637,0.331273499131203
233,209,14.75,-63.25,plsnclim,nclim,2.4932941198349,25.9219470977783,2.54444422721863,0.318164098262787,0.349518895149231,0.332316994667053
233,210,15.25,-63.25,plsnclim,nclim,2.48857188224792,25.8623075485229,2.54170739650726,0.317127501964569,0.350367000699043,0.332505398988724
233,211,15.75,-63.25,plsnclim,nclim,2.49551432132721,25.773431968689,2.56052002906799,0.316463297605515,0.350172197818756,0.333364003896713
233,212,16.25,-63.25,plsnclim,nclim,2.46069829463959,25.7562952041626,2.51668694019318,0.315338206291199,0.353187000751495,0.331475096940994
233,213,16.75,-63.25,plsnclim,nclim,2.20771522521973,25.9748191833496,2.23973159790039,0.317643705010414,0.362358200550079,0.319998303055763
233,214,17.25,-63.25,plsnclim,nclim,2.19192836284637,26.0204982757568,2.22377991676331,0.318925499916077,0.362380602955818,0.318694004416466
233,215,17.75,-63.25,plsnclim,nclim,2.45899875164032,24.3155170440674,2.58019280433655,0.312693104147911,0.348575803637505,0.338730999827385
234,163,-8.25,-62.75,plsnclim,nclim,3.90007150173187,22.103334236145,4.6300434589386,0.272150099277496,0.245214898884296,0.482635006308556
234,164,-7.75,-62.75,plsnclim,nclim,3.43123652935028,22.7388137817383,3.98308522701263,0.284593996405602,0.274193498492241,0.441212502121925
234,165,-7.25,-62.75,plsnclim,nclim,2.55015339851379,24.8441833496094,2.77339510917664,0.311010301113129,0.340236902236938,0.348753100633621
234,166,-6.75,-62.75,plsnclim,nclim,2.34579491615295,25.8765420913696,2.32118258476257,0.323719999194145,0.353591996431351,0.322687795758247
234,167,-6.25,-62.75,plsnclim,nclim,2.28792009353638,26.0377990722656,2.21962189674377,0.32445749938488,0.357565999031067,0.317976799607277
234,168,-5.75,-62.75,plsnclim,nclim,2.19552638530731,26.0788873672485,2.13167629241943,0.321233603358269,0.364028298854828,0.314737996459007
234,169,-5.25,-62.75,plsnclim,nclim,2.16760904788971,26.2827451705933,2.09576811790466,0.327278199791908,0.360464200377464,0.312257701158524
234,170,-4.75,-62.75,plsnclim,nclim,2.15872721672058,26.3002016067505,2.07010899782181,0.328903499245644,0.360432001948357,0.310664501786232
234,171,-4.25,-62.75,plsnclim,nclim,2.14634130001068,26.2998414993286,2.06318029165268,0.3294488042593,0.360142502188683,0.310408601164818
234,172,-3.75,-62.75,plsnclim,nclim,2.15377569198608,26.3072277069092,2.06987189054489,0.329283103346825,0.360199201107025,0.310517600178719
234,173,-3.25,-62.75,plsnclim,nclim,2.17588820457458,26.2731769561768,2.1311781167984,0.32924929857254,0.357423302531242,0.313327702879906
234,174,-2.75,-62.75,plsnclim,nclim,2.29311892986298,25.8786787033081,2.25316889286041,0.31842890381813,0.360838401317596,0.320732799172401
234,175,-2.25,-62.75,plsnclim,nclim,2.31061744689941,25.8719594955444,2.28377566337585,0.318537801504135,0.35957510471344,0.321887004375458
