ny,nx,lat,lon,approach,clima,area_m2,gpp,ra,npp,rc,et,cue,cmass,cleaf,cfroot,cawood,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
169,218,-5.25,-70.75,pftnclim,nclim,3078101000,4.146851,2.946294,1.477851,87.38418,4.362158,0.307476,14.009828,1.203861,1.363928,11.44204,2.436601,25.299276,2.521557,0.336466,0.283964,0.375096
169,219,-5.25,-70.25,pftnclim,nclim,3078101000,4.270483,2.896084,1.438748,87.863594,4.188663,0.309035,13.633705,1.165707,1.350918,11.117082,2.453538,24.81622,2.550843,0.337094,0.276521,0.382106
169,220,-5.25,-69.75,pftnclim,nclim,3078101000,4.208815,2.832217,1.411456,90.676025,4.047038,0.311534,13.423758,1.140709,1.322255,10.960794,2.453622,24.821451,2.550983,0.33709,0.276578,0.382074
169,221,-5.25,-69.25,pftnclim,nclim,3078101000,4.248588,2.839324,1.409264,93.48107,3.952231,0.317224,13.503346,1.128141,1.306351,11.068854,2.453406,24.848705,2.550744,0.337087,0.276908,0.381828
169,222,-5.25,-68.75,pftnclim,nclim,3078101000,4.180717,2.805011,1.375706,95.27154,3.902757,0.31476,13.123502,1.101498,1.274572,10.747433,2.453048,24.84744,2.550329,0.337096,0.276903,0.381811
169,223,-5.25,-68.25,pftnclim,nclim,3078101000,4.025469,2.728616,1.315145,92.81991,3.910287,0.305483,12.313663,1.069671,1.235981,10.008011,2.451126,24.84956,2.547219,0.337049,0.277102,0.381491
169,224,-5.25,-67.75,pftnclim,nclim,3078101000,3.849721,2.684998,1.318803,85.26623,3.927044,0.30123,12.521617,1.080061,1.223237,10.21832,2.435897,25.290947,2.520956,0.336491,0.283867,0.37514
169,225,-5.25,-67.25,pftnclim,nclim,3078101000,4.055992,2.77613,1.455996,81.228905,4.094439,0.314517,14.006145,1.195862,1.386943,11.42334,2.45428,24.808954,2.551638,0.337087,0.276413,0.382221
169,226,-5.25,-66.75,pftnclim,nclim,3078101000,4.229259,2.929986,1.641162,82.189156,4.437933,0.324806,15.49321,1.352169,1.536812,12.604229,2.43926,25.260593,2.524353,0.336412,0.283451,0.375596
169,227,-5.25,-66.25,pftnclim,nclim,3078101000,4.059088,3.021056,1.575027,93.06425,4.911154,0.302875,14.690598,1.31133,1.489716,11.889551,2.438508,25.233856,2.523549,0.336442,0.283147,0.375771
169,228,-5.25,-65.75,pftnclim,nclim,3078101000,4.143062,3.166295,1.628988,85.27998,5.207828,0.297742,14.866402,1.358303,1.544027,11.964071,2.438424,25.205687,2.52338,0.33645,0.282822,0.375992
