lat,lon,clima_approach,clima,approach,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
-4.25,-65.25,nclim_pft,nclim,pft,2.406137,27.95462,2.406137,0.32969315,0.32613724,0.3373517
-4.25,-64.75,nclim_pft,nclim,pft,2.405456,28.015461,2.405456,0.32972717,0.32684704,0.33681057
-4.25,-64.25,nclim_pft,nclim,pft,2.400723,28.081463,2.400723,0.32996387,0.3276171,0.33602394
-4.25,-63.75,nclim_pft,nclim,pft,2.400681,28.088907,2.400681,0.32996593,0.32770393,0.3359598
-4.25,-63.25,nclim_pft,nclim,pft,2.400822,28.083849,2.400822,0.3299589,0.32764492,0.33600906
-4.25,-62.75,nclim_pft,nclim,pft,2.400265,28.082396,2.400265,0.32998672,0.32762794,0.33599327
-4.25,-62.25,nclim_pft,nclim,pft,2.400338,28.067131,2.400338,0.3299831,0.32744987,0.3361241
-4.25,-61.75,nclim_pft,nclim,pft,2.406913,28.017612,2.406913,0.3296543,0.32687214,0.33686554
-4.25,-61.25,nclim_pft,nclim,pft,2.412012,27.946865,2.412012,0.32939945,0.32604675,0.33771004
-4.25,-60.75,nclim_pft,nclim,pft,2.413345,27.91331,2.413345,0.32933273,0.3256553,0.33805634
-4.25,-60.25,nclim_pft,nclim,pft,2.423455,27.844381,2.423455,0.32882725,0.3248511,0.3391362
-4.25,-59.75,nclim_pft,nclim,pft,2.449256,27.773014,2.449256,0.3275372,0.32401848,0.34102097
-4.25,-59.25,nclim_pft,nclim,pft,2.420258,27.877365,2.420258,0.32898712,0.32523594,0.33870148
-4.25,-58.75,nclim_pft,nclim,pft,2.415766,27.888205,2.415766,0.3292117,0.3253624,0.33838657
-4.25,-58.25,nclim_pft,nclim,pft,2.412748,27.939793,2.412748,0.32936256,0.32596424,0.3378058
-4.25,-57.75,nclim_pft,nclim,pft,2.401222,28.080929,2.401222,0.32993893,0.3276108,0.33605335
-4.25,-57.25,nclim_pft,nclim,pft,2.403346,28.064865,2.403346,0.32983273,0.32742344,0.3362935
-4.25,-56.75,nclim_pft,nclim,pft,2.403433,28.061882,2.403433,0.32982838,0.3273886,0.3363226
-4.25,-56.25,nclim_pft,nclim,pft,2.405503,28.075813,2.405503,0.32972485,0.32755116,0.33631004
-4.25,-55.75,nclim_pft,nclim,pft,2.40682,28.103992,2.40682,0.329659,0.3278799,0.33614105
-4.25,-55.25,nclim_pft,nclim,pft,2.407544,28.093176,2.407544,0.3296228,0.32775375,0.3362674
-4.25,-54.75,nclim_pft,nclim,pft,2.406515,28.086952,2.406515,0.3296743,0.32768112,0.3362678
-4.25,-54.25,nclim_pft,nclim,pft,2.40661,28.067005,2.40661,0.32966946,0.3274484,0.33643883
-4.25,-53.75,nclim_pft,nclim,pft,2.405887,28.067524,2.405887,0.32970566,0.3274544,0.33639835
-4.25,-53.25,nclim_pft,nclim,pft,2.404467,28.06215,2.404467,0.3297766,0.32739174,0.3363721
-4.25,-52.75,nclim_pft,nclim,pft,2.403205,28.043058,2.403205,0.3298398,0.327169,0.33646812
-4.25,-52.25,nclim_pft,nclim,pft,2.401077,28.045141,2.401077,0.32994617,0.3271933,0.33634434
-4.25,-51.75,nclim_pft,nclim,pft,2.403857,28.072365,2.403857,0.32980717,0.32751095,0.3362564
-3.75,-74.25,nclim_pft,nclim,pft,2.40713,27.652805,2.40713,0.3296435,0.32261604,0.33991642
-3.75,-73.75,nclim_pft,nclim,pft,2.400312,28.0743,2.400312,0.3299844,0.3275335,0.3360631
-3.75,-73.25,nclim_pft,nclim,pft,2.400328,28.063696,2.400328,0.32998363,0.3274098,0.33615234
-3.75,-72.75,nclim_pft,nclim,pft,2.401689,28.023724,2.401689,0.32991554,0.32694344,0.33655346
-3.75,-72.25,nclim_pft,nclim,pft,2.401443,28.00317,2.401443,0.32992786,0.32670364,0.33671234
-3.75,-71.75,nclim_pft,nclim,pft,2.401124,28.011173,2.401124,0.32994377,0.32679703,0.33662975
-3.75,-71.25,nclim_pft,nclim,pft,2.400588,28.0647,2.400588,0.32997055,0.3274215,0.3361569
-3.75,-70.75,nclim_pft,nclim,pft,2.39872,28.116142,2.39872,0.330064,0.32802166,0.33563484
-3.75,-70.25,nclim_pft,nclim,pft,2.398436,28.138214,2.398436,0.3300782,0.32827915,0.3354367
-3.75,-69.75,nclim_pft,nclim,pft,2.398569,28.148668,2.398569,0.3300715,0.32840115,0.3353562
-3.75,-69.25,nclim_pft,nclim,pft,2.398602,28.152908,2.398602,0.3300699,0.32845062,0.33532253
