"","X","nx","ny","lat","lon","clima","gpp","ra","npp","rc","et","wue","cue","cmass","cleaf","cfroot","cawood","tleaf_cwm","twood_cwm","troot_cwm","aleaf_cwm","awood_cwm","aroot_cwm","PC1","PC2","PC3","PC4","PC5","PC6"
"2699",856,227,184,2.25,-66.25,"nclim",2.919912981987,1.69230668544769,1.22760629653931,111.636060333252,3.8780975818634,0.010018000379205,0.42224839925766,13.9566511154175,0.756289601325989,0.677822589874268,12.5225477218628,2.1579509973526,26.3768655776978,2.05559440851212,0.334074094891548,0.356579700112343,0.309346404671669,1.58818767488966,0.327329392701549,-0.0978692452871864,0.0595732368468936,-0.114694580349866,-2.02158404238872e-06
"2700",857,227,185,2.75,-66.25,"nclim",2.92486848831177,1.69704611301422,1.22782270908356,112.613423919678,3.90741889476776,0.009863999672234,0.421752294898033,13.9392141342163,0.754507601261139,0.679054701328278,12.5056520462036,2.15538041591644,26.3608951568604,2.05860548019409,0.334006896615028,0.356458204984665,0.309534898400307,1.58349684308489,0.327940591327717,-0.102410099965586,0.0551195293441367,-0.116560848709062,1.00601157848601e-07
"2701",858,227,186,3.25,-66.25,"nclim",2.93723690509796,1.7016529083252,1.23558391332626,114.042624664307,3.94231491088867,0.009658000431955,0.422561892867088,14.059779548645,0.755293905735016,0.677471995353699,12.6270102500916,2.15159409046173,26.3300701141357,2.04562578201294,0.332726299762726,0.358335199952126,0.308938500285149,1.59036527122251,0.280353807326419,-0.137972714609608,0.0531576740367707,-0.0916932545533345,1.0117452342584e-07
"2702",859,227,187,3.75,-66.25,"nclim",2.94518568515778,1.70795329809189,1.23723229169846,115.081742858887,3.97313594818115,0.009514999575913,0.422051402926445,14.0693621635437,0.756638902425766,0.677774500846863,12.63495054245,2.15130779743195,26.3298076629639,2.04445011615753,0.332933899760246,0.358138105273247,0.308928301930428,1.59221429511092,0.288401281076795,-0.135425765634479,0.0548520866773543,-0.0943734149164193,-3.16512685760717e-06
"2703",860,227,188,4.25,-66.25,"nclim",2.93443386554718,1.71010729074478,1.22432650327682,116.425820159912,4.00447154045105,0.009347100183368,0.419332703948021,13.8796452522278,0.748283708095551,0.679017496109009,12.4523389816284,2.15307357311249,26.2985956192017,2.06105431318283,0.332907497882843,0.357438099384308,0.309654498100281,1.56941595341497,0.294820133730283,-0.133138314720984,0.0447740637476005,-0.098885975184668,-9.16416086238492e-07
"2704",861,227,189,4.75,-66.25,"nclim",2.90488588809967,1.69765008687973,1.20723609924316,116.841094970703,4.02039966583252,0.009281000122428,0.41750540137291,13.7484535217285,0.731894993782043,0.680184698104858,12.3363713264465,2.15561418533325,26.3431930541992,2.08351341485977,0.330994194746017,0.358262199163437,0.310743397474289,1.53809625296873,0.218865933264437,-0.14249827160067,0.0254860389542677,-0.0945803829376691,2.31288498470095e-06
"2705",862,227,190,5.25,-66.25,"nclim",2.89208602905273,1.69312822818756,1.19896241426468,116.32107925415,4.03308043479919,0.009312000125647,0.41626510322094,13.6350280761719,0.729082101583481,0.681573194265366,12.2243691444397,2.15849730968475,26.378165435791,2.09404752254486,0.331968504190445,0.356569096446037,0.311462703347206,1.53022524373253,0.254542606703712,-0.112770153959014,0.0281194141324627,-0.119277052612827,-3.14350432278898e-06
"2706",863,227,191,5.75,-66.25,"nclim",2.89511346817017,1.6935161948204,1.20160269737244,116.873601531982,4.04198951721191,0.009262000210583,0.416694995760918,13.6712327003479,0.730611890554428,0.683266997337341,12.257355594635,2.1585385799408,26.3802433013916,2.09346321821213,0.33183119893074,0.356715601682663,0.311453101038933,1.53018427638937,0.24888376428779,-0.114811854079343,0.028016520128723,-0.117755311605895,1.13748288732562e-06
"2707",864,227,192,6.25,-66.25,"nclim",2.8974091053009,1.69380079507828,1.20361721515656,117.857936096191,4.06020498275757,0.009154999628663,0.416938298940659,13.6970348358154,0.731630009412765,0.685169196128845,12.2802348136902,2.15832390785217,26.3742334365845,2.09396080970764,0.331709399819374,0.3568569034338,0.311433500051498,1.52905337475453,0.24495071318491,-0.117900489446777,0.0265670578969159,-0.115298705065922,2.18393528472749e-06
"2708",865,227,193,6.75,-66.25,"nclim",2.7669193983078,1.6405051112175,1.12804188728333,119.076972961426,4.08230237960815,0.009021000005305,0.403051295876503,12.7158423423767,0.687477511167526,0.669907402992248,11.3584528923035,2.19738206863403,26.3004272460938,2.15560972690582,0.331147500872612,0.354314392805099,0.314537698030472,1.42176959855235,0.244668295980522,-0.0875121282285486,0.0164039232717884,-0.114526115314403,4.44010823708041e-06
