ny,nx,lat,lon,forest,area_m2,gpp,ra,npp,rc,et,cue,cmass,cleaf,cfroot,cawood,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
170,225,-4.75,-67.25,1,3080451800.0,3.62022,2.555765,1.511599,72.41632,3.868615,0.320351,17.360882,1.228056,1.238691,14.894134,2.408414,28.109879,2.408414,32.957924,32.79486,33.617165
170,226,-4.75,-66.75,1,3080451800.0,3.486896,2.63017,1.585808,75.125145,4.335977,0.313066,17.753025,1.307507,1.322997,15.122522,2.409743,28.030201,2.409743,32.95129,32.7019,33.69022
170,227,-4.75,-66.25,1,3080451800.0,3.136626,2.611955,1.417678,90.32531,4.81566,0.280597,15.498744,1.180894,1.19866,13.11919,2.410128,27.94189,2.410128,32.94936,32.598873,33.765728
170,228,-4.75,-65.75,1,3080451800.0,3.045446,2.594674,1.46813,79.491135,5.10346,0.272,16.003979,1.222209,1.246619,13.535149,2.415033,27.914478,2.415033,32.924835,32.566887,33.8131
170,229,-4.75,-65.25,1,3080451800.0,3.047318,2.624457,1.507632,71.80733,5.152421,0.269608,16.289848,1.255195,1.282159,13.752497,2.416291,27.895504,2.416291,32.918545,32.544754,33.835205
170,230,-4.75,-64.75,1,3080451800.0,3.254233,2.668223,1.602765,66.89986,4.988991,0.281911,17.413784,1.336842,1.365393,14.71155,2.416542,27.904743,2.416542,32.917294,32.555534,33.82875
170,231,-4.75,-64.25,1,3080451800.0,3.824498,2.83944,1.767237,64.241264,4.729674,0.313382,19.625278,1.454743,1.480551,16.689985,2.415838,27.995104,2.415838,32.920815,32.660957,33.749935
170,232,-4.75,-63.75,1,3080451800.0,4.282521,2.974105,1.769798,71.34512,4.709402,0.32641,19.49264,1.42064,1.440664,16.631336,2.412501,28.041168,2.412501,32.9375,32.7147,33.694866
170,233,-4.75,-63.25,1,3080451800.0,4.797996,3.208288,1.885029,75.68243,4.857125,0.337533,20.247915,1.482434,1.497166,17.268314,2.40739,28.059755,2.40739,32.963043,32.73638,33.65382
170,234,-4.75,-62.75,1,3080451800.0,4.448386,3.148922,1.871766,79.28176,5.126331,0.326499,20.290094,1.49677,1.516068,17.277258,2.410649,28.032457,2.410649,32.94675,32.704533,33.69286
170,235,-4.75,-62.25,1,3080451800.0,3.112517,2.498108,1.446069,80.99704,5.410181,0.279827,17.150574,1.212083,1.266173,14.672317,2.439464,27.87555,2.439464,32.802677,32.521473,33.967697
170,236,-4.75,-61.75,0,3080451800.0,2.745627,2.324475,1.39052,78.15998,5.584901,0.262222,16.787603,1.163195,1.221967,14.402441,2.445714,27.880367,2.445714,32.771427,32.527096,33.994926
170,240,-4.75,-59.75,0,3080451800.0,1.658075,1.725823,0.955137,71.803535,5.647669,0.213103,13.511359,0.7712,0.810313,11.929847,2.453317,28.203716,2.453317,32.733414,32.904335,33.763485
170,241,-4.75,-59.25,0,3080451800.0,2.428344,2.306303,1.295597,69.38083,5.371399,0.24237,15.888419,1.039972,1.067132,13.781316,2.42818,28.140587,2.42818,32.859097,32.830685,33.690407
170,242,-4.75,-58.75,1,3080451800.0,1.408869,1.52182,0.792869,72.3349,5.049672,0.205007,11.863449,0.642409,0.678171,10.54287,2.457525,28.23978,2.457525,32.712376,32.94641,33.75447
170,243,-4.75,-58.25,1,3080451800.0,1.383594,1.705481,0.753413,67.18249,4.836424,0.180535,10.761052,0.676495,0.80613,9.278428,2.908758,27.262753,2.908758,30.456207,31.806543,36.82483
170,244,-4.75,-57.75,1,3080451800.0,1.023189,1.310423,0.572813,70.17515,4.721766,0.172214,9.707402,0.514549,0.609332,8.583521,2.928399,27.851969,2.928399,30.358006,32.493965,36.432022
170,245,-4.75,-57.25,1,3080451800.0,0.70716,0.942167,0.401726,71.81882,4.756353,0.163128,9.193024,0.367396,0.428628,8.397,3.0,30.0,3.0,30.0,35.0,35.0
170,253,-4.75,-53.25,1,3080451800.0,1.845681,1.608862,0.827077,82.56254,4.809042,0.241002,11.953,0.646723,0.700495,10.605782,2.477947,28.097916,2.477947,32.610264,32.780903,33.974804
