ny,nx,lat,lon,clima,forest,area_m2,gpp,ra,npp,rc,et,cue,cmass,cleaf,cfroot,cawood
167,242,-6.25,-58.75,nclim,1,3072695800,5.21046,3.445719,1.764741,74.046425,4.60059,0.328317,16.494349,1.391465,1.571739,13.531144
167,243,-6.25,-58.25,nclim,1,3072695800,5.129094,3.398491,1.730602,78.652016,4.562618,0.326709,16.225065,1.366712,1.543654,13.3147
167,244,-6.25,-57.75,nclim,0,3072695800,5.012043,3.344405,1.667638,85.84106,4.719874,0.321643,15.620217,1.321723,1.504911,12.793583
167,245,-6.25,-57.25,nclim,0,3072695800,3.025129,2.510452,1.217498,86.842285,4.975914,0.249856,12.970467,0.991933,1.15717,10.821363
168,220,-5.75,-69.75,nclim,0,3075515400,3.637093,2.703047,1.358513,91.02313,4.184046,0.297453,12.85025,1.123152,1.273828,10.453271
168,221,-5.75,-69.25,nclim,0,3075515400,3.654021,2.671016,1.318552,95.167206,4.068676,0.297218,12.440301,1.087151,1.256926,10.096224
168,222,-5.75,-68.75,nclim,0,3075515400,3.656967,2.649544,1.302513,97.63337,4.051998,0.296525,12.299331,1.069018,1.238851,9.991462
168,223,-5.75,-68.25,nclim,0,3075515400,3.482033,2.596738,1.25261,100.49749,4.080177,0.288279,11.698082,1.043491,1.203662,9.450929
168,224,-5.75,-67.75,nclim,1,3075515400,3.469066,2.60788,1.26511,95.45817,4.140398,0.286,11.922869,1.053458,1.1942,9.67521
168,225,-5.75,-67.25,nclim,1,3075515400,3.662709,2.703936,1.334827,94.57596,4.287119,0.291236,12.60174,1.113053,1.287122,10.201565
168,226,-5.75,-66.75,nclim,1,3075515400,4.04401,2.913654,1.59098,86.60197,4.619534,0.312754,15.108786,1.318848,1.498885,12.291052
168,227,-5.75,-66.25,nclim,1,3075515400,4.577792,3.114482,1.901136,73.128654,4.748485,0.34004,17.053877,1.567982,1.788983,13.696911
168,228,-5.75,-65.75,nclim,1,3075515400,4.594132,3.257402,1.884726,70.07806,5.06544,0.324952,16.874641,1.560948,1.77919,13.534504
168,229,-5.75,-65.25,nclim,1,3075515400,5.083402,3.431004,2.072961,60.09019,5.04913,0.344579,18.357857,1.686966,1.924467,14.746423
168,230,-5.75,-64.75,nclim,1,3075515400,5.270758,3.554051,1.970721,67.099655,5.075304,0.334788,18.136784,1.578594,1.794653,14.763537
168,231,-5.75,-64.25,nclim,1,3075515400,5.002515,3.426577,1.817472,75.57842,4.993103,0.324435,16.947567,1.455281,1.652749,13.839539
168,232,-5.75,-63.75,nclim,1,3075515400,5.076236,3.369445,1.875467,77.4229,4.833704,0.335597,17.491148,1.500627,1.706147,14.284374
168,233,-5.75,-63.25,nclim,1,3075515400,5.15334,3.422876,1.845125,86.40923,5.094855,0.330037,17.36333,1.474707,1.675344,14.21328
168,234,-5.75,-62.75,nclim,1,3075515400,5.269535,3.497782,1.977133,83.00085,5.196412,0.338414,18.283907,1.586187,1.80486,14.89286
168,235,-5.75,-62.25,nclim,1,3075515400,5.248357,3.580338,2.038563,77.65427,5.386214,0.336471,18.69365,1.645508,1.873539,15.174603
168,236,-5.75,-61.75,nclim,0,3075515400,6.35872,3.937808,2.420911,65.51601,5.390474,0.375218,20.549152,1.917586,2.185332,16.446236
168,237,-5.75,-61.25,nclim,0,3075515400,6.371624,3.974214,2.39741,64.39247,5.261156,0.370286,20.541056,1.896169,2.157069,16.48782
168,238,-5.75,-60.75,nclim,0,3075515400,6.185227,3.972918,2.212309,67.33556,5.345446,0.351029,19.658043,1.744505,1.978359,15.935178
168,239,-5.75,-60.25,nclim,0,3075515400,6.112846,3.92932,2.183527,64.17416,5.233475,0.349917,19.4896,1.719542,1.948806,15.821251
168,240,-5.75,-59.75,nclim,1,3075515400,5.779806,3.794387,1.985418,67.373055,5.146219,0.335479,18.107443,1.561828,1.766093,14.779523
168,241,-5.75,-59.25,nclim,1,3075515400,5.570904,3.679738,1.891165,69.174706,4.976822,0.330881,17.377605,1.487957,1.681244,14.208406
168,242,-5.75,-58.75,nclim,1,3075515400,5.355135,3.530319,1.824817,70.62832,4.715727,0.331289,16.993423,1.437424,1.623869,13.93213
168,243,-5.75,-58.25,nclim,1,3075515400,5.194155,3.430378,1.763779,73.70472,4.568867,0.329433,16.550419,1.392794,1.573122,13.584502
168,244,-5.75,-57.75,nclim,1,3075515400,5.144958,3.428456,1.716502,79.465965,4.684027,0.323699,15.97328,1.357357,1.534696,13.081226
168,245,-5.75,-57.25,nclim,1,3075515400,3.462807,2.640113,1.276373,82.42133,4.826253,0.25451,13.437347,1.059412,1.239379,11.138557
168,246,-5.75,-56.75,nclim,1,3075515400,3.070932,2.583559,1.258399,84.75974,5.050576,0.234469,13.400891,1.052467,1.218065,11.130361
168,247,-5.75,-56.25,nclim,1,3075515400,2.227709,2.243666,1.068855,86.91336,5.32631,0.210478,12.284065,0.887139,1.040732,10.356194
168,248,-5.75,-55.75,nclim,1,3075515400,5.228835,3.518741,1.723791,87.37506,5.423155,0.309267,15.962847,1.366287,1.578602,13.017958
168,249,-5.75,-55.25,nclim,1,3075515400,5.057837,3.449547,1.667717,87.963615,5.427612,0.3006,15.352139,1.328248,1.561836,12.462053
168,250,-5.75,-54.75,nclim,1,3075515400,4.859012,3.419123,1.703637,86.44916,5.362284,0.302409,16.004072,1.334003,1.530184,13.139885
168,251,-5.75,-54.25,nclim,1,3075515400,4.78734,3.430202,1.713861,87.444374,5.306055,0.302006,15.956511,1.327525,1.517685,13.1113
168,252,-5.75,-53.75,nclim,1,3075515400,4.429822,3.304216,1.653011,88.32181,5.248008,0.298368,15.062691,1.260867,1.441978,12.359845
169,217,-5.25,-71.25,nclim,0,3078101000,4.031598,3.00349,1.501874,92.77408,4.675522,0.299498,13.937495,1.242642,1.409517,11.285336
169,218,-5.25,-70.75,nclim,0,3078101000,4.146851,2.946294,1.477851,87.38418,4.362158,0.307476,14.009828,1.203861,1.363928,11.44204
169,219,-5.25,-70.25,nclim,0,3078101000,4.270483,2.896084,1.438748,87.863594,4.188663,0.309035,13.633705,1.165707,1.350918,11.117082
169,220,-5.25,-69.75,nclim,0,3078101000,4.208815,2.832217,1.411456,90.676025,4.047038,0.311534,13.423758,1.140709,1.322255,10.960794
169,221,-5.25,-69.25,nclim,0,3078101000,4.248588,2.839324,1.409264,93.48107,3.952231,0.317224,13.503346,1.128141,1.306351,11.068854
169,222,-5.25,-68.75,nclim,0,3078101000,4.180717,2.805011,1.375706,95.27154,3.902757,0.31476,13.123502,1.101498,1.274572,10.747433
169,223,-5.25,-68.25,nclim,0,3078101000,4.025469,2.728616,1.315145,92.81991,3.910287,0.305483,12.313663,1.069671,1.235981,10.008011
169,224,-5.25,-67.75,nclim,1,3078101000,3.849721,2.684998,1.318803,85.26623,3.927044,0.30123,12.521617,1.080061,1.223237,10.21832
169,225,-5.25,-67.25,nclim,1,3078101000,4.055992,2.77613,1.455996,81.228905,4.094439,0.314517,14.006145,1.195862,1.386943,11.42334
169,226,-5.25,-66.75,nclim,1,3078101000,4.229259,2.929986,1.641162,82.189156,4.437933,0.324806,15.49321,1.352169,1.536812,12.604229
169,227,-5.25,-66.25,nclim,1,3078101000,4.059088,3.021056,1.575027,93.06425,4.911154,0.302875,14.690598,1.31133,1.489716,11.889551
169,228,-5.25,-65.75,nclim,1,3078101000,4.143062,3.166295,1.628988,85.27998,5.207828,0.297742,14.866402,1.358303,1.544027,11.964071
169,229,-5.25,-65.25,nclim,1,3078101000,4.515857,3.285699,1.864072,66.60837,5.115048,0.318848,16.735193,1.543018,1.758072,13.434105
169,230,-5.25,-64.75,nclim,1,3078101000,4.751361,3.377802,1.827067,70.42019,4.982478,0.321271,16.736755,1.483507,1.686492,13.566756
169,231,-5.25,-64.25,nclim,1,3078101000,5.017002,3.380444,1.818746,73.55183,4.843351,0.327312,16.941298,1.458944,1.657158,13.825195
169,232,-5.25,-63.75,nclim,1,3078101000,5.316295,3.458103,1.858192,79.988075,4.820617,0.34189,17.399214,1.468495,1.665137,14.265582
169,233,-5.25,-63.25,nclim,1,3078101000,5.437049,3.55019,1.886859,88.335625,5.00009,0.340413,17.555063,1.48335,1.678519,14.393194
