,nx,ny,lat,lon,PLS,gpp,ra,npp,rc,et,wue,cue,cmass,cleaf,cfroot,cawood,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
18,204,179,-0.25,-77.75,1000PLS,0.859801989793777,0.781710904836655,0.295549699664116,162.048164367676,2.97384521961212,0.00659730015322566,0.200785100460052,2.39271330833435,0.292728498578072,0.636197900772095,1.46378712058067,3.88800077438354,16.494605255127,4.53787915706635,0.280961997807026,0.222647699713707,0.496390300989151
19,204,180,0.25,-77.75,1000PLS,2.40134589672089,1.29173040390015,1.10961549282074,150.124412536621,3.54084570407867,0.00662600016221404,0.464117699861527,12.1106783866882,0.726639795303345,0.710585391521454,10.6734539031982,2.30961232185364,25.3802141189575,2.26262140274048,0.325697496533394,0.355399000644684,0.318903800845146
20,204,181,0.75,-77.75,1000PLS,2.74232039451599,1.46447291374207,1.27784738540649,145.698223876953,4.01389508247375,0.00657799979671836,0.468394500017166,14.1745209693909,0.799791502952576,0.708909994363785,12.6658187866211,2.2036465883255,25.5750230789185,2.0497022151947,0.327961099147797,0.362778002023697,0.309261006116867
21,204,182,1.25,-77.75,1000PLS,2.98953351974487,1.66223551034927,1.32729830741882,153.143690490723,4.28011317253113,0.0060259997844696,0.446008199453354,14.7721707344055,0.815383499860764,0.725168800354004,13.2316186904907,2.16955642700195,25.6317609786987,2.03788442611694,0.329021599888802,0.362426200509071,0.308552500605583
22,204,183,1.75,-77.75,1000PLS,3.00093467235565,1.67580149173737,1.32513319253922,164.482467651367,4.38787784576416,0.00535599980503321,0.443754500150681,14.7567378044128,0.812776899337769,0.72854910492897,13.2154151916504,2.16735248565674,25.6511316299438,2.04574741125107,0.328886803984642,0.36224710047245,0.308866301178932
23,204,184,2.25,-77.75,1000PLS,2.97148966789246,1.66011102199554,1.31137870550156,166.88225402832,4.32827596664429,0.00527499988675117,0.443700104951859,14.625635433197,0.803102594614029,0.731099504232407,13.0914372444153,2.17187838554382,25.6544013977051,2.06301789283752,0.327425298094749,0.362624004483223,0.309950602054596
24,204,185,2.75,-77.75,1000PLS,2.96674599647522,1.67983441352844,1.28691180944443,163.57049407959,4.23997459411621,0.00553900003433228,0.436199903488159,14.3412984848022,0.787592899799347,0.729701805114746,12.8240012168884,2.17595911026001,25.6617431640625,2.08704458475113,0.327042004466057,0.361589202284813,0.311368900537491
25,204,186,3.25,-77.75,1000PLS,2.95996377468109,1.68619269132614,1.27377120256424,153.586499023438,4.117613697052,0.00614999979734421,0.43252229988575,14.2036725997925,0.782730305194855,0.717601799964905,12.7033406257629,2.18006312847137,25.6855529785156,2.07895519733429,0.32792190015316,0.361158803105354,0.310919100046158
26,204,187,3.75,-77.75,1000PLS,2.9465274810791,1.68398960828781,1.26253780126572,140.737295532227,4.00962591171265,0.00700200023129582,0.430464097857475,14.0848781585693,0.779069799184799,0.709190493822098,12.5966200828552,2.18419399261475,25.6942895889282,2.07545857429504,0.328602895140648,0.36072990000248,0.3106674015522
27,204,188,4.25,-77.75,1000PLS,2.93449490070343,1.67785898447037,1.25663608312607,134.93018951416,3.97063467502594,0.00742200016975403,0.430178698897362,14.0275102615356,0.775709009170532,0.707845711708069,12.5439547538757,2.18512899875641,25.6950891494751,2.07878612279892,0.32843259871006,0.360733994841576,0.310833597183228
28,204,189,4.75,-77.75,1000PLS,2.97447369098663,1.69806261062622,1.2764111995697,130.977493286133,4.15181670188904,0.0075679998844862,0.43145150244236,14.2235075950623,0.782653999328613,0.726024812459946,12.7148326873779,2.17978632450104,25.6763818740845,2.09244637489319,0.32746160030365,0.361051404476166,0.311486506462097
29,204,190,5.25,-77.75,1000PLS,2.79021451473236,1.55732220411301,1.23289251327515,127.595854949951,4.24587473869324,0.00775589994154871,0.444789701700211,13.6670305252075,0.742239201068878,0.770038992166519,12.1547503471375,2.19827561378479,25.506649017334,2.21758005619049,0.317735400795937,0.363806101679802,0.318458798527718
30,204,194,7.25,-77.75,1000PLS,0.141798004508018,0.790804982185364,0.0181450005620718,169.805587768555,4.19761991500854,0.00590700004249811,0.0152610000222921,8.91023063659668,0.517991006374359,0.352872997522354,8.03936767578125,2.870924949646,25.9306507110596,2.51109004020691,0.397217988967896,0.286639988422394,0.316143006086349
31,204,195,7.75,-77.75,1000PLS,0.342114329338074,0.683866997559865,0.155014331142108,165.686238606771,4.27172978719075,0.0060259997844696,0.112217999994755,0.931728005409241,0.174468333522479,0.648234685262044,0.109024663766225,4.54486926396688,4.14551830291748,7.12457307179769,0.266085997223854,0.116666669646899,0.617247333129247
32,205,178,-0.75,-77.25,1000PLS,2.29619898796082,1.21429179906845,1.08322149515152,152.357388305664,3.04842162132263,0.00704970010556281,0.472750106453896,11.6536595344543,0.753701394796371,0.649073398113251,10.2508845329285,2.33098685741425,25.3740200042725,2.15867238044739,0.341074198484421,0.345615297555923,0.313310497999191
33,205,179,-0.25,-77.25,1000PLS,2.79825468063355,1.5621634721756,1.23609118461609,162.304672241211,3.58272433280945,0.0060259997844696,0.4432059019804,13.9520716667175,0.771669793128967,0.676431685686111,12.5039705276489,2.20434558391571,25.7879055023193,2.03766031265259,0.328232499957085,0.363390302658081,0.308377102017403
34,205,180,0.25,-77.25,1000PLS,2.92090222835541,1.64708880186081,1.27381337881088,156.07791595459,3.93978989124298,0.00610799994319677,0.43782739341259,14.2652106285095,0.788761192560196,0.700688999891281,12.7757601737976,2.18731420040131,25.7412553787231,2.04612909555435,0.328954899311066,0.361955597996712,0.30908930003643
35,205,181,0.75,-77.25,1000PLS,2.97735359668732,1.69319818019867,1.28415530920029,156.319239807129,4.08748278617859,0.00604799995198846,0.433074501156807,14.3383061408997,0.795575308799744,0.701686894893646,12.84104347229,2.17970125675201,25.7420072555542,2.04074739217758,0.331020697951317,0.360413098335266,0.308566302061081
